Dates;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1980-04-28;;;;;17,030930232558138;;;;;;;;;;;;;;;
1980-04-29;;;;;16,967674418604652;;;;;;;;;;;;;;;
1980-04-30;;;;;16,895581395348835;;;;;;;;;;;;;;;
1980-05-01;;;;;16,860697674418603;;;;;;;;;;;;;;;
1980-05-02;;;;;16,998604651162786;;;;;;;;;;;;;;;
1980-05-05;;;;;17,01767441860465;;;;;;;;;;;;;;;
1980-05-06;;;;;17,036744186046512;;;;;;;;;;;;;;;
1980-05-07;;;;;17,05581395348837;;;;;;;;;;;;;;;
1980-05-08;;;;;17,041627906976746;;;;;;;;;;;;;;;
1980-05-09;;;;;17,19651162790698;;;;;;;;;;;;;;;
1980-05-12;;;;;17,23953488372093;;;;;;;;;;;;;;;
1980-05-13;;;;;17,25813953488372;;;;;;;;;;;;;;;
1980-05-14;;;;;17,333953488372092;;;;;;;;;;;;;;;
1980-05-15;;;;;17,404883720930233;;;;;;;;;;;;;;;
1980-05-16;;;;;17,455348837209304;;;;;;;;;;;;;;;
1980-05-19;;;;;17,475813953488373;;;;;;;;;;;;;;;
1980-05-20;;;;;17,155581395348836;;;;;;;;;;;;;;;
1980-05-21;;;;;17,153023255813956;;;;;;;;;;;;;;;
1980-05-22;;;;;17,196976744186045;;;;;;;;;;;;;;;
1980-05-23;;;;;17,21581395348837;;;;;;;;;;;;;;;
1980-05-26;;;;;17,234651162790694;;;;;;;;;;;;;;;
1980-05-27;;;;;17,21627906976744;;;;;;;;;;;;;;;
1980-05-28;;;;;17,309767441860465;;;;;;;;;;;;;;;
1980-05-29;;;;;17,201860465116276;;;;;;;;;;;;;;;
1980-05-30;;;;;17,19;;;;;;;;;;;;;;;
1980-06-02;;;;;17,19;;;;;;;;;;;;;;;
1980-06-03;;;;;17,19;;;;;;;;;;;;;;;
1980-06-04;;;;;17,13;;;;;;;;;;;;;;;
1980-06-05;;;;;17,06;;;;;;;;;;;;;;;
1980-06-06;;;;;17,14;;;;;;;;;;;;;;;
1980-06-09;;;;;17,18;;;;;;;;;;;;;;;
1980-06-10;;;;;17,17;;;;;;;;;;;;;;;
1980-06-11;;;;;17,38;;;;;;;;;;;;;;;
1980-06-12;;;;;17,31;;;;;;;;;;;;;;;
1980-06-13;;;;;17,28;;;;;;;;;;;;;;;
1980-06-16;;;;;17,5;;;;;;;;;;;;;;;
1980-06-17;;;;;17,75;;;;;;;;;;;;;;;
1980-06-18;;;;;17,03;;;;;;;;;;;;;;;
1980-06-19;;;;;15,75;;;;;;;;;;;;;;;
1980-06-20;;;;;17,25;;;;;;;;;;;;;;;
1980-06-23;;;;;17,33;;;;;;;;;;;;;;;
1980-06-24;;;;;17,31;;;;;;;;;;;;;;;
1980-06-25;;;;;17,28;;;;;;;;;;;;;;;
1980-06-26;;;;;17,25;;;;;;;;;;;;;;;
1980-06-27;;;;;17,22;;;;;;;;;;;;;;;
1980-06-30;;;;;17,28;;;;;;;;;;;;;;;
1980-07-01;;;;;16,28;;;;;;;;;;;;;;;
1980-07-02;;;;;16,13;;;;;;;;;;;;;;;
1980-07-03;;;;;16,1553488372093;;;;;;;;;;;;;;;
1980-07-04;;;;;15,245348837209301;;;;;;;;;;;;;;;
1980-07-07;;;;;15,29046511627907;;;;;;;;;;;;;;;
1980-07-08;;;;;15,263720930232559;;;;;;;;;;;;;;;
1980-07-09;;;;;15,205348837209304;;;;;;;;;;;;;;;
1980-07-10;;;;;15,373023255813953;;;;;;;;;;;;;;;
1980-07-11;;;;;15,393488372093024;;;;;;;;;;;;;;;
1980-07-14;;;;;15,478372093023255;;;;;;;;;;;;;;;
1980-07-15;;;;;15,404186046511628;;;;;;;;;;;;;;;
1980-07-16;;;;;15,380930232558141;;;;;;;;;;;;;;;
1980-07-17;;;;;15,316046511627906;;;;;;;;;;;;;;;
1980-07-18;;;;;15,395813953488371;;;;;;;;;;;;;;;
1980-07-21;;;;;15,379534883720929;;;;;;;;;;;;;;;
1980-07-22;;;;;15,368372093023256;;;;;;;;;;;;;;;
1980-07-23;;;;;15,338837209302326;;;;;;;;;;;;;;;
1980-07-24;;;;;15,646511627906978;;;;;;;;;;;;;;;
1980-07-25;;;;;15,397441860465115;;;;;;;;;;;;;;;
1980-07-28;;;;;15,430232558139537;;;;;;;;;;;;;;;
1980-07-29;;;;;15,5453488372093;;;;;;;;;;;;;;;
1980-07-30;;;;;15,595348837209304;;;;;;;;;;;;;;;
1980-07-31;;;;;15,801162790697674;;;;;;;;;;;;;;;
1980-08-01;;;;;15,888139534883722;;;;;;;;;;;;;;;
1980-08-04;;;;;15,988837209302325;;;;;;;;;;;;;;;
1980-08-05;;;;;16,04139534883721;;;;;;;;;;;;;;;
1980-08-06;;;;;16,223953488372096;;;;;;;;;;;;;;;
1980-08-07;;;;;16,083488372093022;;;;;;;;;;;;;;;
1980-08-08;;;;;16,15325581395349;;;;;;;;;;;;;;;
1980-08-11;;;;;16,12186046511628;;;;;;;;;;;;;;;
1980-08-12;;;;;16,231860465116277;;;;;;;;;;;;;;;
1980-08-13;;;;;16,258372093023254;;;;;;;;;;;;;;;
1980-08-14;;;;;16,27627906976744;;;;;;;;;;;;;;;
1980-08-15;;;;;16,331162790697675;;;;;;;;;;;;;;;
1980-08-18;;;;;16,26790697674419;;;;;;;;;;;;;;;
1980-08-19;;;;;16,283023255813955;;;;;;;;;;;;;;;
1980-08-20;;;;;16,336046511627906;;;;;;;;;;;;;;;
1980-08-21;;;;;16,30744186046512;;;;;;;;;;;;;;;
1980-08-22;;;;;16,406511627906976;;;;;;;;;;;;;;;
1980-08-25;;;;;16,422093023255815;;;;;;;;;;;;;;;
1980-08-26;;;;;16,499534883720926;;;;;;;;;;;;;;;
1980-08-27;;;;;16,50325581395349;;;;;;;;;;;;;;;
1980-08-28;;;;;16,442558139534885;;;;;;;;;;;;;;;
1980-08-29;;;;;16,517209302325583;;;;;;;;;;;;;;;
